Timestamp,Your Academic Stage,Peer pressure,Academic pressure from your home,What coping strategy you use as a student?,"Do you have any bad habits like smoking, drinking on a daily basis?",What would you rate the academic  competition in your student life,Rate your academic stress index ,Stress Index,Academic pressure,Study Environment_Peaceful,Study Environment_disrupted,Study Environment,Rate your academic stress index 
24/07/2025 22:25:17,undergraduate,1,1,"Social support (friends, family)",prefer not to say,4,3,3,1,1,0,Peaceful,3
24/07/2025 22:25:27,undergraduate,3,4,Analyze the situation and handle it with intellect,No,5,4,4,4,0,0,Noisy,4
24/07/2025 22:25:41,undergraduate,4,5,Emotional breakdown (crying a lot),Yes,2,3,3,5,0,1,disrupted,3
24/07/2025 22:28:58,undergraduate,1,4,Analyze the situation and handle it with intellect,No,4,4,4,4,1,0,Peaceful,4
24/07/2025 22:29:26,undergraduate,3,4,Analyze the situation and handle it with intellect,No,3,4,4,4,1,0,Peaceful,4
24/07/2025 22:30:29,undergraduate,3,2,"Social support (friends, family)",No,3,4,4,2,1,0,Peaceful,4
24/07/2025 22:32:22,undergraduate,3,4,Analyze the situation and handle it with intellect,No,5,5,5,4,0,1,disrupted,5
24/07/2025 22:32:36,post-graduate,3,5,Analyze the situation and handle it with intellect,No,3,3,3,5,1,0,Peaceful,3
24/07/2025 22:32:37,undergraduate,3,5,Analyze the situation and handle it with intellect,No,4,5,5,5,1,0,Peaceful,5
24/07/2025 22:33:48,undergraduate,5,4,Emotional breakdown (crying a lot),No,5,5,5,4,0,1,disrupted,5
24/07/2025 22:34:34,undergraduate,4,2,Analyze the situation and handle it with intellect,No,2,2,2,2,0,0,Noisy,2
24/07/2025 22:34:41,undergraduate,3,2,Analyze the situation and handle it with intellect,No,4,3,3,2,1,0,Peaceful,3
24/07/2025 22:34:53,undergraduate,5,5,Emotional breakdown (crying a lot),prefer not to say,4,5,5,5,0,0,Noisy,5
24/07/2025 22:38:47,undergraduate,2,4,Analyze the situation and handle it with intellect,No,4,4,4,4,1,0,Peaceful,4
24/07/2025 22:39:36,undergraduate,3,4,Emotional breakdown (crying a lot),Yes,4,5,5,4,0,0,Noisy,5
24/07/2025 22:41:41,undergraduate,2,3,"Social support (friends, family)",No,2,3,3,3,0,1,disrupted,3
24/07/2025 22:42:11,undergraduate,3,3,Analyze the situation and handle it with intellect,No,4,3,3,3,1,0,Peaceful,3
24/07/2025 22:42:25,undergraduate,4,4,Analyze the situation and handle it with intellect,No,5,4,4,4,0,0,Noisy,4
24/07/2025 22:42:48,undergraduate,4,5,Analyze the situation and handle it with intellect,No,4,4,4,5,1,0,Peaceful,4
24/07/2025 22:44:07,undergraduate,3,3,Emotional breakdown (crying a lot),Yes,3,3,3,3,0,1,disrupted,3
24/07/2025 22:44:50,undergraduate,3,1,Analyze the situation and handle it with intellect,Yes,4,4,4,1,0,0,Noisy,4
24/07/2025 23:01:02,undergraduate,3,2,Analyze the situation and handle it with intellect,No,5,4,4,2,1,0,Peaceful,4
24/07/2025 23:02:49,post-graduate,4,4,Analyze the situation and handle it with intellect,prefer not to say,4,4,4,4,0,1,disrupted,4
24/07/2025 23:03:10,undergraduate,3,1,Analyze the situation and handle it with intellect,No,4,3,3,1,0,0,Noisy,3
24/07/2025 23:04:01,undergraduate,2,3,Analyze the situation and handle it with intellect,No,3,5,5,3,0,1,disrupted,5
24/07/2025 23:15:48,undergraduate,3,1,Analyze the situation and handle it with intellect,No,5,4,4,1,0,0,Noisy,4
24/07/2025 23:22:17,undergraduate,2,1,Emotional breakdown (crying a lot),No,3,2,2,1,1,0,Peaceful,2
24/07/2025 23:31:01,undergraduate,2,3,Analyze the situation and handle it with intellect,No,4,4,4,3,1,0,Peaceful,4
24/07/2025 23:32:26,undergraduate,4,4,Emotional breakdown (crying a lot),No,4,4,4,4,0,1,disrupted,4
24/07/2025 23:36:22,undergraduate,3,3,Analyze the situation and handle it with intellect,No,3,3,3,3,0,1,disrupted,3
24/07/2025 23:44:35,undergraduate,3,2,Emotional breakdown (crying a lot),No,2,2,2,2,1,0,Peaceful,2
25/07/2025 00:10:10,undergraduate,4,5,Emotional breakdown (crying a lot),No,2,5,5,5,0,1,disrupted,5
25/07/2025 00:13:46,undergraduate,4,3,Analyze the situation and handle it with intellect,No,4,5,5,3,1,0,Peaceful,5
25/07/2025 00:21:30,undergraduate,3,5,Emotional breakdown (crying a lot),No,3,4,4,5,0,1,disrupted,4
25/07/2025 00:21:38,undergraduate,4,2,Analyze the situation and handle it with intellect,No,1,1,1,2,0,1,disrupted,1
25/07/2025 08:13:01,undergraduate,3,3,Analyze the situation and handle it with intellect,No,3,4,4,3,0,1,disrupted,4
25/07/2025 08:42:22,undergraduate,4,3,Analyze the situation and handle it with intellect,No,4,4,4,3,0,1,disrupted,4
25/07/2025 10:30:12,undergraduate,3,3,Analyze the situation and handle it with intellect,No,4,4,4,3,0,1,disrupted,4
25/07/2025 10:37:39,undergraduate,1,1,Analyze the situation and handle it with intellect,No,1,1,1,1,0,0,Noisy,1
25/07/2025 10:43:24,undergraduate,3,3,Analyze the situation and handle it with intellect,No,4,4,4,3,0,1,disrupted,4
25/07/2025 11:00:10,undergraduate,5,5,Emotional breakdown (crying a lot),No,3,5,5,5,0,0,Noisy,5
25/07/2025 11:06:32,undergraduate,3,3,Analyze the situation and handle it with intellect,No,3,3,3,3,1,0,Peaceful,3
25/07/2025 11:06:40,undergraduate,2,3,"Social support (friends, family)",No,2,3,3,3,0,0,Noisy,3
25/07/2025 11:47:24,undergraduate,3,4,Analyze the situation and handle it with intellect,No,3,3,3,4,1,0,Peaceful,3
25/07/2025 13:17:44,post-graduate,3,2,Analyze the situation and handle it with intellect,No,5,4,4,2,1,0,Peaceful,4
25/07/2025 13:18:47,undergraduate,3,3,Analyze the situation and handle it with intellect,prefer not to say,3,5,5,3,1,0,Peaceful,5
25/07/2025 13:38:10,undergraduate,2,2,Analyze the situation and handle it with intellect,No,1,1,1,2,1,0,Peaceful,1
25/07/2025 16:00:32,undergraduate,5,3,Emotional breakdown (crying a lot),No,4,5,5,3,1,0,Peaceful,5
25/07/2025 16:04:38,undergraduate,3,2,Analyze the situation and handle it with intellect,No,3,4,4,2,1,0,Peaceful,4
25/07/2025 16:31:45,post-graduate,1,5,Analyze the situation and handle it with intellect,No,5,3,3,5,1,0,Peaceful,3
25/07/2025 17:08:00,undergraduate,2,2,"Social support (friends, family)",No,5,4,4,2,0,1,disrupted,4
25/07/2025 17:51:17,post-graduate,4,4,Analyze the situation and handle it with intellect,No,4,3,3,4,0,0,Noisy,3
25/07/2025 18:18:38,undergraduate,2,3,"Social support (friends, family)",No,3,3,3,3,1,0,Peaceful,3
25/07/2025 18:27:24,undergraduate,2,3,Analyze the situation and handle it with intellect,prefer not to say,3,3,3,3,1,0,Peaceful,3
25/07/2025 19:34:59,undergraduate,2,5,"Social support (friends, family)",No,4,5,5,5,1,0,Peaceful,5
